team_id,team_name,team_logo,country_logo,region_name
hltv_team_13355,Nemesis,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d3s4444conkqbk3bnu70.png,,
csgo_tm_4602,Tricked,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cuvau1kconkqmjpn8e90.png,,
hltv_team_12774,FlyQuest,https://oss.5eplay.com/cloudx/p/sport/csgo/team/co31epkconklgsjvh0cg.png,,
csgo_tm_7969,Nemiga,https://oss.5eplay.com/cloudx/p/sport/csgo/team/ch9otcv4nfqe2nie4tc0.png,,
hltv_team_12878,BC.Game,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d4dsvssconkgnll274og.png,,
hltv_team_13592,magic,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d6020ukconkpudhr3kig.png,,
hltv_team_12916,Betclic,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d0enhisconkt3lege8v0.png,,
hltv_team_12257,Wildcard,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cpsgc7cconklgsjvior0.png,,
hltv_team_13799,PsychoFace,https://oss.5eplay.com/sport/csgo/team/null.png,,
hltv_team_12510,The Huns,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_cl30rpsconkqks63c75g.png,,
csgo_tm_11837,Fluxo,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_cldh3i4conkqks63cjn0.png,,
hltv_team_12967,WW,https://oss.5eplay.com/cloudx/p/sport/csgo/team/crplp9cconkotam81170.png,,
hltv_team_13237,AM,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d2copgkconkt3legf010.png,,
hltv_team_12604,Johnny Speeds,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cs3ihv4conkotam815t0.png,,
csgo_tm_11251,EF,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cla5secconkqks63cgbg.png,,
csgo_tm_10621,1win,https://oss.5eplay.com/sport/csgo/team/merge_cediu774nfq433414t90.png,,
hltv_team_12901,SemperFi,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d6rmudsconkpudhr3ong.png,,
csgo_tm_9621,Aab,https://oss.5eplay.com/sport/csgo/team/hz/cec3tof4nfq43340vki0.png,,
csgo_tm_10245,JJH,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d00eh74conkt3lege5ag.png,,
hltv_team_13619,BET-M,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d5k55c4conkpudhr3gvg.png,,
hltv_team_13518,Acend,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d5k54usconkpudhr3gv0.png,,
hltv_team_13808,Walczaki,https://oss.5eplay.com/sport/csgo/team/null.png,,
hltv_team_13644,TDK,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d6h5ijkconkpudhr3mng.png,,
hltv_team_12776,Bounty Hunters,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_co9lkskconklgsjvh460.png,,
csgo_tm_11514,RA,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cgm4f374nfqe2nie3tig.png,,
hltv_team_12646,CW,https://oss.5eplay.com/cloudx/p/sport/csgo/team/coqf55sconklgsjvhde0.png,,
hltv_team_13304,LP,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_10459,ARCRED,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cmvq29sconkqks63dsl0.png,,
hltv_team_12677,Galorys,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cn6n7usconkqks63dv8g.png,,
hltv_team_12380,CYBERSHOKE,https://oss.5eplay.com/sport/csgo/team/12380.png,,
hltv_team_13214,SPARTA,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d0qh4n4conkt3leged0g.png,,
csgo_tm_10823,Infinite,https://oss.5eplay.com/sport/csgo/team/hz/cec3v374nfq43340vrlg.png,,
hltv_team_13486,THUNDER dOWNUNDER,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d4j9drkconkgnll2763g.png,,
hltv_team_12769,Fisher College,https://oss.5eplay.com/cloudx/p/sport/csgo/team/ct9qa2cconkqmjpn7ac0.png,,
hltv_team_13310,MANA,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d1j4hocconkt3legeq3g.png,,
csgo_tm_5378,VP,https://oss.5eplay.com/cloudx/p/sport/csgo/team/ct1uoncconkotam81hkg.png,,
hltv_team_13231,Ursa,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d5k57e4conkpudhr3h00.png,,
hltv_team_13617,ex-RUBY,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_10333,Sangal,https://oss.5eplay.com/sport/csgo/team/hz/cec3ui74nfq43340vosg.png,,
hltv_team_13333,ASTRAL,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d52ajgkconkpudhr3e80.png,,
hltv_team_13027,Nuclear TigeRES,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cup4jdkconkqmjpn8avg.png,,
hltv_team_13081,Fake do Biru,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_11641,Metizport,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_crl43ekconkotam80sdg.png,,
hltv_team_12642,Rebels,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cmmt574conkqks63div0.png,,
hltv_team_13613,Bebop,https://oss.5eplay.com/sport/csgo/team/null.png,,
hltv_team_13181,BASEMENT BOYS,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cv5upikconkt3legds1g.png,,
hltv_team_13233,HEROIC Academy,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d06s9e4conkt3lege6qg.png,,
hltv_team_13012,HyperSpirit,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d2am4mcconkt3legev90.png,,
hltv_team_12609,Lavked,https://oss.5eplay.com/sport/csgo/team/null.png,,
hltv_team_13573,ex-Zero Tenacity,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_6810,aimclub,https://oss.5eplay.com/sport/csgo/team/hz/cec3ql74nfq43340v29g.png,,
hltv_team_13575,WAZABI,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d748o4sconkpudhr3qb0.webp,,
csgo_tm_11955,LAG,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_clp62lsconkqks63csb0.png,,
hltv_team_13173,Phantom,https://oss.5eplay.com/cloudx/p/sport/csgo/team/merge_d2sede4conkqbk3bnms0.png,,
hltv_team_13321,Falcons Force,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d62k2csconkpudhr3l1g.png,,
hltv_team_13403,TNC,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_7865,HAVU,https://oss.5eplay.com/sport/csgo/team/hz/cec3rmn4nfq43340v9d0.png,,
hltv_team_12818,FT,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cqaeqi4conkotam7vp50.png,,
hltv_team_13667,NEXVOID,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d7jdn8sconkpudhr4co0.png,,
hltv_team_12536,DEPO,https://oss.5eplay.com/cloudx/p/sport/csgo/team/ct5rrv4conkotam81k5g.png,,
csgo_tm_11555,UNO,https://oss.5eplay.com/sport/csgo/team/null.png,,
csgo_tm_7653,Isurus,https://oss.5eplay.com/sport/csgo/team/hz/cec3re74nfq43340v7u0.png,,
csgo_tm_9958,AE,https://oss.5eplay.com/sport/csgo/team/hz/cec3u5n4nfq43340vmsg.png,,
csgo_tm_6033,Keyd,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d1eal1kconkt3legeov0.png,,
csgo_tm_11446,Leo,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cu94sf4conkqmjpn80og.png,,
hltv_team_13314,KOLESIE,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d1sq42kconkt3legesdg.png,,
csgo_tm_11176,MOUZ.N,https://oss.5eplay.com/sport/csgo/team/hz/cec3vg74nfq43340vu2g.png,,
csgo_tm_10960,Y.NIP,https://oss.5eplay.com/sport/csgo/team/merge_cee834f4nfq433414tt0.png,,
hltv_team_13602,MOS,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d57lcvcconkpudhr3fqg.png,,
hltv_team_13666,BMZ,https://oss.5eplay.com/cloudx/p/sport/csgo/team/d6t0ackconkpudhr3or0.png,,
hltv_team_12988,GameHunters,https://oss.5eplay.com/cloudx/p/sport/csgo/team/csepltcconkotam81b90.png,,
csgo_tm_6089,TLR,https://oss.5eplay.com/sport/csgo/team/hz/cec3q674nfq43340utgg.png,,
