match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2374605,1,Dust2,13,9,t1,hltv_team_12257,Wildcard,2026-04-22 15:11:40
csgo_mc_2374608,1,Nuke,8,13,t2,csgo_tm_12035,Hype,2026-04-22 15:11:41
csgo_mc_2374609,1,Nuke,8,13,t2,csgo_tm_9455,Imperial,2026-04-22 15:11:41
csgo_mc_2374612,1,Vertigo,13,6,t1,csgo_tm_12035,Hype,2026-04-22 15:11:41
csgo_mc_2374613,1,Mirage,22,19,t1,csgo_tm_9455,Imperial,2026-04-22 15:11:41
csgo_mc_2374615,1,Inferno,13,8,t1,hltv_team_12921,Housebets,2026-04-22 15:11:40
csgo_mc_2374616,1,Nuke,6,13,t2,hltv_team_12363,Arcade,2026-04-22 15:11:40
csgo_mc_2374617,1,Dust2,13,11,t1,csgo_tm_11668,Mindfreak,2026-04-22 15:11:40
csgo_mc_2374618,1,Dust2,13,4,t1,hltv_team_12774,FlyQuest,2026-04-22 15:11:40
csgo_mc_2374619,1,Inferno,13,4,t1,hltv_team_12152,KZG,2026-04-22 15:11:40
csgo_mc_2374620,1,Nuke,5,13,t2,hltv_team_12921,Housebets,2026-04-22 15:11:40
csgo_mc_2374621,1,Mirage,3,13,t2,csgo_tm_9881,Rooster,2026-04-22 15:11:40
csgo_mc_2374622,1,Nuke,8,13,t2,csgo_tm_11668,Mindfreak,2026-04-22 15:11:40
csgo_mc_2374623,1,Vertigo,5,13,t2,hltv_team_12774,FlyQuest,2026-04-22 15:11:40
csgo_mc_2374624,1,Ancient,2,13,t2,hltv_team_12152,KZG,2026-04-22 15:11:40
csgo_mc_2374628,1,Vertigo,13,2,t1,csgo_tm_10567,SAW,2026-04-22 15:11:42
csgo_mc_2374628,2,Ancient,10,13,t2,csgo_tm_11712,Sashi,2026-04-22 15:11:42
csgo_mc_2374628,3,Anubis,13,6,t1,csgo_tm_10567,SAW,2026-04-22 15:11:42
csgo_mc_2374629,1,Nuke,13,8,t1,csgo_tm_5996,TSM,2026-04-22 15:11:41
csgo_mc_2374629,2,Inferno,13,8,t1,csgo_tm_5996,TSM,2026-04-22 15:11:41
csgo_mc_2374630,1,Mirage,1,13,t2,csgo_tm_10333,Sangal,2026-04-22 15:11:41
csgo_mc_2374630,2,Anubis,13,6,t1,csgo_tm_11523,ZT,2026-04-22 15:11:41
csgo_mc_2374630,3,Nuke,7,13,t2,csgo_tm_10333,Sangal,2026-04-22 15:11:41
csgo_mc_2374631,1,Inferno,5,13,t2,csgo_tm_4914,3DMAX,2026-04-22 15:11:41
csgo_mc_2374631,2,Ancient,13,3,t1,csgo_tm_7969,Nemiga,2026-04-22 15:11:41
csgo_mc_2374631,3,Anubis,13,9,t1,csgo_tm_7969,Nemiga,2026-04-22 15:11:41
csgo_mc_2374632,1,Mirage,14,16,t2,hltv_team_12467,PARIVISION,2026-04-22 15:11:41
csgo_mc_2374632,2,Anubis,13,9,t1,csgo_tm_11811,Monte,2026-04-22 15:11:41
csgo_mc_2374632,3,Dust2,11,13,t2,hltv_team_12467,PARIVISION,2026-04-22 15:11:41
csgo_mc_2374633,1,Mirage,13,10,t1,hltv_team_12559,RUSH B,2026-04-22 15:11:41
csgo_mc_2374633,2,Ancient,13,5,t1,hltv_team_12559,RUSH B,2026-04-22 15:11:41
csgo_mc_2374634,1,Mirage,13,11,t1,csgo_tm_11883,9 Pandas,2026-04-22 15:11:41
csgo_mc_2374634,2,Nuke,13,4,t1,csgo_tm_11883,9 Pandas,2026-04-22 15:11:41
csgo_mc_2374635,1,Inferno,11,13,t2,csgo_tm_10577,SINNERS,2026-04-22 15:11:42
csgo_mc_2374635,2,Mirage,10,13,t2,csgo_tm_10577,SINNERS,2026-04-22 15:11:42
csgo_mc_2374640,1,Mirage,13,10,t1,csgo_tm_11948,Nouns,2026-04-22 15:11:37
csgo_mc_2374641,1,Mirage,13,5,t1,hltv_team_12245,FA,2026-04-22 15:11:37
