player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_21930,kpr,0.66,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_21930,rating,1.09,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21930,swing,+1.16%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_24149,adr,80.3,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_24149,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_24149,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24149,kast,72.7,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_24149,kpr,0.73,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_24149,rating,1.14,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24149,swing,+0.05%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_24121,adr,68.6,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_24121,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_24121,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24121,kast,72.2,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_24121,kpr,0.63,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_24121,rating,1.04,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24121,swing,-0.01%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_20029,adr,56.1,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_20029,dpr,0.67,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_20029,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20029,kast,64.7,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_20029,kpr,0.55,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_20029,rating,0.85,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20029,swing,-2.03%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19817,adr,77.7,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19817,dpr,0.70,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19817,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19817,kast,69.2,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19817,kpr,0.72,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19817,rating,1.14,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19817,swing,+0.71%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19173,adr,70.0,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19173,dpr,0.71,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19173,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19173,kast,67.8,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19173,kpr,0.59,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19173,rating,0.96,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19173,swing,-1.19%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_25495,adr,71.0,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_25495,dpr,0.72,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_25495,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_25495,kast,70.0,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_25495,kpr,0.58,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_25495,rating,1.00,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_25495,swing,-1.17%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_15374,adr,84.1,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_15374,dpr,0.61,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_15374,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_15374,kast,77.6,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_15374,kpr,0.80,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_15374,rating,1.29,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_15374,swing,+3.14%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_24706,adr,70.3,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_24706,dpr,0.70,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_24706,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24706,kast,73.7,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_24706,kpr,0.55,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_24706,rating,0.96,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_24706,swing,-0.72%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_25507,adr,64.4,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_25507,dpr,0.74,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_25507,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_25507,kast,71.4,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_25507,kpr,0.59,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_25507,rating,0.94,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_25507,swing,-1.48%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_25536,adr,83.4,72.7,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_25536,dpr,0.62,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_25536,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_25536,kast,75.7,71.4,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_25536,kpr,0.82,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_25536,rating,1.34,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
