id,team_id,team_name,team_logo,region_name,rating,map_num,map_win_loss,map_win_rate,game_played,win_rate,avg_round,kd_rate,kd,kd_diff,avg_kill,avg_death,avg_assist,total_kill,total_death,total_assist,total_round,first_five_win_num,first_five_win_rate,first_ten_win_num,first_ten_win_rate,ct_win_round,ct_win_rate,t_win_round,t_win_rate,ct_first_win_round,ct_first_win_rate,t_first_win_round,t_first_win_rate,first_kill,first_kill_rate,first_death_num,first_death_rate,global_rank,valve_rank,valve_point,point,score,global_bonus,rank,rank_change,rank_diff,csv_index,crawl_time
,hltv_team_12429,JACK3D,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,7,6/1,85.7%,3,100.0%,26.7,1.19,+109,,96.7,81.1,21.3,677,568,149,187,5,71.4%,5,71.4%,61,65.6%,49,52.1%,6,85.7%,4,57.1%,31,72.1%,16,34.0%,,,,,,,,,-,73,1777963826
,hltv_team_12645,Sweet Aim Bro,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,3,2/1,66.7%,1,100.0%,25.3,1.12,+30,,94.3,84.3,27.7,283,253,83,76,2,66.7%,2,66.7%,20,51.3%,20,54.1%,1,33.3%,1,33.3%,22,71.0%,10,35.7%,,,,,,,,,-,74,1777963826
,hltv_team_12565,LBS HBG,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,4,2/2,50.0%,2,50.0%,20.5,1.10,+27,,76.0,69.3,28.8,304,277,115,82,1,25.0%,2,50.0%,21,56.8%,23,51.1%,1,25.0%,4,100.0%,24,68.6%,13,36.1%,,,,,,,,,-,75,1777963826
,hltv_team_12840,AVE,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,1,1/0,100.0%,1,100.0%,20.0,1.09,+6,,76.0,70.0,15.0,76,70,15,20,1,100.0%,1,100.0%,7,58.3%,6,75.0%,1,100.0%,1,100.0%,7,87.5%,2,28.6%,,,,,,,,,-,76,1777963826
,hltv_team_12922,Imp Pact fe,https://oss.5eplay.com/cloudx/p/sport/csgo/team/cr7ummkconkotam80ipg.png,,1.16,19,11/8,57.9%,9,55.6%,21.5,1.12,+160,,78.2,69.8,28.7,1486,1326,545,409,11,57.9%,14,73.7%,110,53.4%,117,57.6%,8,42.1%,11,57.9%,154,72.3%,65,33.5%,,,,,,,,,-,77,1777963826
,hltv_team_13008,Fisher Tsunami,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,9,6/3,66.7%,3,100.0%,22.1,1.10,+65,,79.3,72.1,28.6,714,649,257,199,7,77.8%,7,77.8%,60,58.3%,51,53.1%,6,66.7%,6,66.7%,84,77.1%,26,29.2%,,,,,,,,,-,78,1777963826
,hltv_team_13011,Blockbusters,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,3,1/2,33.3%,1,0.0%,22.3,1.10,+22,,80.3,73.0,30.7,241,219,92,67,1,33.3%,2,66.7%,19,52.8%,14,45.2%,2,66.7%,2,66.7%,28,70.0%,6,22.2%,,,,,,,,,-,79,1777963826
,hltv_team_13020,Xtreme5,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,4,2/2,50.0%,2,50.0%,17.3,1.13,+30,,63.3,55.8,16.8,253,223,67,69,2,50.0%,2,50.0%,25,52.1%,12,57.1%,1,25.0%,2,50.0%,29,78.4%,8,25.0%,,,,,,,,,-,80,1777963826
,hltv_team_13036,Living Legends,https://oss.5eplay.com/sport/csgo/team/null.png,,1.16,1,1/0,100.0%,1,100.0%,35.0,1.05,+7,,137.0,130.0,37.0,137,130,37,35,1,100.0%,1,100.0%,14,77.8%,5,29.4%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,,,,,,,,,-,81,1777963826
,csgo_tm_5115,Kazakhstan,https://oss.5eplay.com/sport/csgo/team/hz/cec3pn74nfq43340uqag.png,,1.16,8,6/2,75.0%,4,100.0%,20.9,1.15,+77,,74.6,65.0,26.4,597,520,211,167,7,87.5%,6,75.0%,51,59.3%,46,56.8%,8,100.0%,5,62.5%,57,68.7%,28,41.8%,,,,,,"$12,500",,,-,82,1777963826
,hltv_team_13253,Team SHOKOV,https://oss.5eplay.com/sport/csgo/team/13253.png,,1.16,9,7/2,77.8%,3,100.0%,19.7,1.10,+59,,71.9,65.3,24.2,647,588,218,177,7,77.8%,7,77.8%,49,59.8%,55,57.9%,5,55.6%,6,66.7%,69,78.4%,34,38.6%,,,,,,,,,-,83,1777963826
