event_id,event_name,event_logo,grade,grade_label,special_grade_label,status,start_time,end_time,bonus,city_name,mode,cover
csgo_tt_7180,BetBoom Playlist Freedom 2023,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/chm91kn4nfq3cc4udasg.png,3,A级赛事,A级赛事,past,2023-05-01 18:00:00,2023-05-31 18:00:00,"$150,000",欧洲（线上）,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6794,BLAST 巴黎 Major 2023 挑战者组,https://oss.5eplay.com/sport/csgo/tournament/cettevhll806civqfthg.png,1,Major,Major,past,2023-05-08 18:00:00,2023-05-11 18:00:00,前8晋级传奇组,巴黎，法国,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr0v9ll806h1bg24vg.png
csgo_tt_6793,BLAST 巴黎 Major 2023,https://oss.5eplay.com/sport/csgo/tournament/cettevhll806civqfthg.png,1,Major,Major,past,2023-05-13 18:00:00,2023-05-21 18:00:00,"$1,250,000",法国，巴黎,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr10hll806h1bg2500.png
csgo_tt_7199,CCT 2023 线上 决赛 1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/chm72s74nfq3cc4udaig.png,3,A级赛事,A级赛事,past,2023-05-23 18:00:00,2023-05-30 18:00:00,"$200,000",欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7214,ESL Meisterschaft 春季赛 2023,https://oss.5eplay.com/sport/csgo/event/7214.png,4,B级赛事,,past,2023-05-25 18:00:00,2023-05-28 18:00:00,3 spots at LAN Finals,德国线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6861,IEM 达拉斯 2023,https://oss.5eplay.com/sport/csgo/event/6861.png,2,S级赛事,S级赛事,past,2023-05-29 18:00:00,2023-06-04 18:00:00,$250000,达拉斯，美国,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr13hll806h1bg250g.png
csgo_tt_7212,ESEA Advanced 第45赛季 北美,https://oss.5eplay.com/sport/csgo/event/7212.png,4,B级赛事,,past,2023-05-29 18:00:00,2023-06-09 18:00:00,"$20,300",北美 线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7220,CCT 北欧系列赛 5,https://oss.5eplay.com/sport/csgo/event/7220.png,4,B级赛事,,past,2023-05-29 18:00:00,2023-06-10 18:00:00,"$50,000",欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7222,CCT 西欧系列赛 4,https://oss.5eplay.com/sport/csgo/event/7222.png,4,B级赛事,,past,2023-05-29 18:00:00,2023-06-11 18:00:00,"$50,000",欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7228,ESL 超级联赛 春季 2023,https://oss.5eplay.com/sport/csgo/event/7228.png,4,B级赛事,,past,2023-05-29 18:00:00,2023-06-04 18:00:00,"$13,398",英国 线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6922,ESL Impact联赛第三季 决赛,https://oss.5eplay.com/sport/csgo/event/6922.png,3,A级赛事,A级赛事,past,2023-06-02 18:00:00,2023-06-04 18:00:00,"$123,000",达拉斯，美国,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6972,BLAST Premier 春季总决赛 2023,https://oss.5eplay.com/sport/csgo/event/6972.png,7,S+赛事,S+赛事,past,2023-06-07 18:00:00,2023-06-11 18:00:00,"$425,000",华盛顿，美国,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr169ll806h1bg2510.png
csgo_tt_6867,ESL 挑战者 卡托维兹 2023,https://oss.5eplay.com/sport/csgo/event/6867.png,3,A级赛事,A级赛事,past,2023-06-09 00:00:00,2023-06-11 23:00:00,"$100,000",卡托维兹，波兰,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7215,ESL Meisterschaft 春季赛 2023 决赛,https://oss.5eplay.com/sport/csgo/event/7215.png,4,B级赛事,,past,2023-06-11 18:00:00,2023-06-11 23:59:59,"$13,187",柏林，德国,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7251,PWA Premier League S4,https://oss.5eplay.com/sport/csgo/event/7251.png,4,B级赛事,,past,2023-06-13 18:00:00,2023-06-18 18:00:00,"$23,354",亚洲 线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7243,1xBet GOAT 联赛 2023 夏日假期,https://oss.5eplay.com/sport/csgo/event/7243.png,3,A级赛事,A级赛事,past,2023-06-15 00:00:00,2023-06-20 18:00:00,"$200,000",欧洲 线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7241,Svenska Elitserien 春季赛 2023 决赛,https://oss.5eplay.com/sport/csgo/event/7241.png,4,B级赛事,,past,2023-06-16 18:00:00,2023-06-18 18:00:00,"$22,406",延雪平，瑞典,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7244,葡萄牙大师赛 S11 决赛,https://oss.5eplay.com/sport/csgo/event/7244.png,4,B级赛事,,past,2023-06-17 18:00:00,2023-06-18 18:00:00,"$12,293",吉马良斯 葡萄牙,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7179,FiReLEAGUE 阿根廷 2023,https://oss.5eplay.com/sport/csgo/event/7179.png,4,B级赛事,,past,2023-06-20 00:00:00,2023-06-25 00:00:00,前4名晋级决赛,阿根廷 线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7178,FiReLEAGUE 阿根廷 2023 决赛,https://oss.5eplay.com/sport/csgo/event/7178.png,4,B级赛事,,past,2023-07-02 18:00:00,2023-07-08 18:00:00,"$26,000",阿根廷，布宜诺斯艾利斯,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7298,XSE 亚洲职业邀请赛 2023 决赛,https://oss.5eplay.com/sport/csgo/event/7298.png,4,B级赛事,,past,2023-07-09 18:00:00,2023-07-10 18:00:00,"¥160,000","中国,上海",0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7308,CCT 南美系列赛 8,https://oss.5eplay.com/sport/csgo/event/7308.png,4,B级赛事,,past,2023-07-10 18:00:00,2023-07-23 18:00:00,"$25,000",南美洲，线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7314,ESEA 夏季季前巡回赛 2023 北美 公开预选赛 1,https://oss.5eplay.com/sport/csgo/event/7314.png,6,资格赛B级,,past,2023-07-10 18:00:00,2023-07-10 18:00:00,晋级,北美线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7198,Gamers8 2023 欧洲 公开预选赛 2,https://oss.5eplay.com/sport/csgo/event/7198.png,6,资格赛B级,,past,2023-07-11 18:00:00,2023-07-12 18:00:00,晋级,欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7309,CCT 北欧系列赛 6 封闭预选赛,https://oss.5eplay.com/sport/csgo/event/7309.png,6,资格赛B级,,past,2023-07-12 18:00:00,2023-07-16 18:00:00,前4名晋级CCT北欧系列赛6,欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
