team_id,team_name,region,team_logo,source,fetched_at
edward_gaming,EDWARD GAMING,LPL,https://static.lolesports.com/teams/1631819297476_edg-2021-worlds.png,lolesports,2026-05-01 18:31:32
oh_my_god,Oh My God,LPL,https://static.lolesports.com/teams/1686821355861_OMG_2023_logo-01.png,lolesports,2026-05-01 18:31:32
lgd_gaming,LGD GAMING,LPL,https://static.lolesports.com/teams/LGD-FullonDark-1.png,lolesports,2026-05-01 18:31:32
ultra_prime,Ultra Prime,LPL,https://static.lolesports.com/teams/ultraprime.png,lolesports,2026-05-01 18:31:32
thunder_talk_gaming,THUNDER TALK GAMING,LPL,https://static.lolesports.com/teams/TT-FullonDark.png,lolesports,2026-05-01 18:31:32
funplus_phoenix,FunPlus Phoenix,LPL,https://static.lolesports.com/teams/1627457887494_7_720.png,lolesports,2026-05-01 18:31:32
royal_never_give_up,Royal Never Give Up,LPL,https://static.lolesports.com/teams/1631819360134_rng-2021-worlds.png,lolesports,2026-05-01 18:31:33
rare_atom,RARE ATOM,LPL,https://static.lolesports.com/teams/RA-FullonDark.png,lolesports,2026-05-01 18:31:33
sk_gaming,SK Gaming,LEC,https://static.lolesports.com/teams/1643979272144_SK_Monochrome.png,lolesports,2026-05-01 18:31:36
los_ratones,Los Ratones,LEC,https://static.lolesports.com/teams/1736206905390_LR1.png,lolesports,2026-05-01 18:31:36
karmine_corp_blue,Karmine Corp Blue,LEC,https://static.lolesports.com/teams/1765897112519_WHITE.png,lolesports,2026-05-01 18:31:36
giantx,GIANTX,LEC,https://static.lolesports.com/teams/1765897105091_GIANTX-logotype-white.png,lolesports,2026-05-01 18:31:36
natus_vincere,Natus Vincere,LEC,https://static.lolesports.com/teams/1752746833620_NAVI_FullColor.png,lolesports,2026-05-01 18:31:36
team_vitality,Team Vitality,LEC,https://static.lolesports.com/teams/1675865863968_Vitality_FullColor.png,lolesports,2026-05-01 18:31:36
team_heretics,Team Heretics,LEC,https://static.lolesports.com/teams/1672933861879_Heretics-Full-Color.png,lolesports,2026-05-01 18:31:36
rogue,Rogue,LEC,https://static.lolesports.com/teams/1705054928404_RGE.png,lolesports,2026-05-01 18:31:36
astralis,Astralis,LEC,https://static.lolesports.com/teams/AST-FullonDark.png,lolesports,2026-05-01 18:31:36
qt_dig,QT DIG,LCP,https://static.lolesports.com/teams/1744180899175_qtd_white.png,lolesports,2026-05-01 18:31:38
relove_deep_cross_gaming,Relove Deep Cross Gaming,LCP,https://static.lolesports.com/teams/1773832146741_LCP_DCG_Full_W.png,lolesports,2026-05-01 18:31:38
saving_oce,Saving OCE,LCP,https://static.lolesports.com/teams/1758702009987_PnR_SVO_Full_B.png,lolesports,2026-05-01 18:31:38
