player_id,player_slug,player_name,team_abbrev,country,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_pct,cl_pct,clutches,kmax,kills,deaths,assists,first_kills,first_deaths,source,source_url,fetched_at
51676,prayy,prayy,AKA,DE,waylay|jett|neon,288,0.76,193.4,0.77,63%,122.4,0.65,0.19,0.14,0.18,27%,6%,1/16,20,187,242,55,40,51,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
33274,psych,Psych,CCG,MX,neon|waylay,370,0.76,178.9,0.77,64%,111.0,0.62,0.20,0.16,0.25,17%,20%,5/25,28,230,299,74,60,91,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
46040,youze,Youze,AG,TW,jett|waylay|neon,394,0.76,170.2,0.75,62%,109.7,0.58,0.21,0.12,0.18,21%,,,18,229,304,81,30,45,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
38103,piccalily,piccalily,Bitf,NL,brimstone|astra|omen,302,0.76,127.1,0.67,70%,84.4,0.47,0.29,0.05,0.07,31%,20%,8/41,17,143,213,87,14,21,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
5654,avez,Avez,KC,EG,tejo|kayo|omen,273,0.76,157.3,0.73,66%,102.7,0.55,0.32,0.09,0.14,31%,5%,1/21,16,150,205,86,24,39,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
61846,vynz,vynz,,PL,neon|raze|phoenix,291,0.76,172.5,0.75,63%,115.5,0.61,0.18,0.12,0.14,22%,15%,4/27,26,177,236,53,36,42,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
42064,hieu,hieu,ADG,VN,neon|raze|waylay,429,0.76,180.2,0.79,66%,116.8,0.63,0.22,0.10,0.18,28%,9%,2/23,23,272,346,93,43,77,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
3218,agr0,Agr0,high,US,phoenix|yoru|neon,232,0.75,185.8,0.74,59%,119.1,0.63,0.16,0.10,0.19,34%,4%,1/23,20,147,198,38,24,44,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
30733,tootsie,Tootsie,Want,JP,fade|sova|skye,442,0.75,146.0,0.64,65%,99.8,0.47,0.37,0.05,0.09,24%,9%,5/57,21,208,326,165,23,40,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
30750,enes,eNes,AKA,AT,fade|sova|tejo,288,0.75,155.9,0.68,66%,105.1,0.52,0.19,0.09,0.06,27%,15%,6/40,17,151,221,56,27,18,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
46456,shed3rik,shed3rik,UNI,RU,astra|brimstone|omen,297,0.75,164.1,0.68,68%,109.4,0.54,0.38,0.07,0.09,25%,11%,3/28,18,160,235,114,20,26,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
35967,taphtaph,TAPHTAPH,NAOS,PH,brimstone|veto|harbor,211,0.75,157.4,0.69,68%,105.8,0.54,0.26,0.08,0.12,45%,16%,4/25,20,114,165,55,17,26,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
50270,prevail,prevail,Bunk,LV,viper|killjoy|chamber,265,0.75,156.5,0.71,59%,109.9,0.55,0.15,0.07,0.14,27%,2%,1/56,19,147,207,40,19,37,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
23010,nicksz,nicksz,ELV,BR,omen|viper|kayo,217,0.75,174.4,0.69,67%,111.9,0.56,0.35,0.09,0.11,20%,6%,1/17,21,122,177,77,20,23,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
